,0,1,2,3,4
314,2.4,3.95,4.0,3.4,4.35
315,2.4,3.9,3.8,3.8,4.2
316,2.4,2.4,2.4,2.4,2.4
317,1.8,2.8,2.9,2.95,3.0
318,3.0,3.6,3.5,3.5,3.5
319,3.0,3.05,3.1,3.1,3.1
320,3.0,2.85,3.3,2.65,3.25
321,1.8,3.55,4.0,3.35,3.9
322,2.5,4.1,4.1,4.25,4.4
323,3.75,4.05,3.9,3.6,3.9
324,3.0,4.0,3.55,4.0,3.4
325,3.0,3.05,2.9,3.15,2.65
326,2.4,4.0,4.3,2.1,3.95
327,1.4,3.45,3.75,3.65,3.75
328,1.6,4.15,4.1,3.65,4.3
329,3.3,3.55,3.5,3.2,3.65
330,2.6,3.0,2.95,2.95,3.0
331,3.0,4.25,3.7,4.25,4.1
332,2.4,3.35,3.55,3.45,3.4
333,1.75,3.15,4.45,3.9,4.4
334,2.0,3.85,3.95,4.1,4.2
335,2.4,2.95,2.9,3.2,3.6
336,2.6,4.2,4.0,4.5,4.05
337,1.6,3.9,3.25,4.05,4.3
338,1.65,3.15,3.85,3.95,4.25
339,2.4,4.35,3.75,4.35,4.25
340,3.05,3.05,3.15,3.3,3.3
341,1.9,2.9,3.55,3.1,3.75
342,1.9,2.75,3.9,2.9,3.1
343,2.9,2.9,2.95,2.75,2.75
344,2.2,3.35,2.75,3.65,3.85
345,2.4,2.8,3.45,2.3,3.5
346,2.85,2.9,2.8,2.7,3.1
347,2.9,3.0,3.0,3.0,3.0
348,2.6,2.7,3.45,2.95,3.05
349,3.25,4.25,4.25,4.15,4.2
350,3.05,3.0,3.1,3.05,3.15
351,2.0,3.1,3.65,3.2,3.5
352,3.05,3.3,2.85,2.4,3.6
353,2.15,1.6,1.7,1.55,1.45
354,1.95,3.3,3.7,3.9,3.25
355,2.15,3.0,3.35,3.7,3.15
356,3.0,3.0,3.7,2.65,3.65
357,1.8,2.5,2.8,2.5,3.0
358,2.0,3.65,3.45,3.75,3.75
359,3.45,4.35,4.0,3.75,4.35
360,3.6,3.6,2.9,3.6,3.0
361,2.55,3.7,4.2,3.7,3.8
362,1.95,3.3,3.7,2.2,3.6
363,2.0,3.75,3.45,3.4,4.0
364,2.4,3.6,3.55,3.35,3.5
365,2.55,3.0,1.95,2.65,2.4
366,2.6,3.05,2.95,2.95,3.15
367,3.05,3.75,3.65,3.35,3.7
368,2.8,2.95,3.15,2.85,3.05
369,2.4,3.0,4.6,2.35,4.4
370,1.7,3.9,4.2,2.85,4.1
371,2.4,3.45,3.75,3.55,3.9
372,3.4,3.85,3.4,3.6,3.7
373,2.4,4.35,4.2,4.1,4.4
374,3.0,3.1,3.7,3.75,3.0
375,1.6,1.6,3.95,2.7,3.65
376,2.9,3.85,3.85,3.55,4.1
377,2.25,3.8,3.6,3.65,3.9
378,2.9,4.35,4.4,4.2,4.45
379,2.55,3.0,3.25,3.1,3.3
380,3.35,3.3,3.5,3.55,3.35
381,2.8,2.9,3.65,3.4,3.8
382,1.6,3.95,4.4,2.75,4.6
383,3.0,3.1,3.1,3.1,3.1
384,3.0,2.95,2.95,3.0,3.05
385,2.75,3.45,3.4,2.95,3.5
386,3.0,3.15,2.9,3.25,3.35
387,2.4,4.35,4.1,4.1,3.95
388,3.0,3.2,3.05,3.0,3.25
389,2.0,4.25,4.55,4.1,4.5
